TEXT	ACTUAL-CLASS	PREDICTED-CLASS	FeatureVector
sad tree	NEGATIVE	NEUTRAL	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 15=1.0, 17=1.0, 18=0.9862233641620408, 19=2.0, 20=0.8706844853293135, 21=0.11553887883272726, 23=1.0, 24=1.0, 25=0.7346734673467348, 26=2.0, 28=0.22642264226422643, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 52=1.0, 53=0.1, 54=1.0, 56=0.1}	
mad > sheever	NEUTRAL	NEGATIVE	{3=1.0, 4=0.2, 5=1.0, 7=0.2, 17=1.0, 18=0.1663814873705002, 19=1.0, 21=0.1663814873705002, 24=1.0, 25=0.4043404340434043, 26=1.0, 28=0.4043404340434043, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
IT'S NOT CALLED SOUL ASSUMPTION BabyRage	NEGATIVE	NEUTRAL	{15=1.0, 17=2.0, 18=1.4543043734216565, 19=3.0, 20=0.7359221377993695, 21=0.3002635386807661, 23=4.0, 24=1.0, 25=2.462646264626463, 26=5.0, 28=0.42464246424642466, 37=1.0, 39=0.5, 40=1.0, 45=1.0, 47=1.0, 49=0.0}	
EleGiggle DA BLOCK PogChamp	POSITIVE	NEUTRAL	{3=1.0, 4=0.4, 5=1.0, 7=0.4, 17=1.0, 18=0.44287152626858944, 19=1.0, 21=0.44287152626858944, 23=2.0, 25=0.9783978397839785, 26=2.0, 38=1.0, 40=1.0, 42=0.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
WTF is wrong with the guy in the middle	NEGATIVE	NEUTRAL	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 15=1.0, 16=2.0, 17=1.0, 18=2.0591063892999997, 19=4.0, 20=0.7276418514830241, 21=0.2723086318546191, 23=9.0, 24=2.0, 25=5.315531553155315, 26=11.0, 28=0.39793979397939794, 31=2.0, 33=2.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
LOOK AT THE CAMERA	NEUTRAL	POSITIVE	{15=2.0, 16=1.0, 18=1.8954538202105011, 19=3.0, 20=0.7359056322452506, 22=1.0, 23=3.0, 25=1.9986998699869987, 26=4.0, 27=0.550955095509551, 37=1.0, 39=0.5, 40=1.0}	
Milf OSfrog	POSITIVE	NEUTRAL	{1=1.0, 4=0.7, 5=1.0, 6=0.7, 15=2.0, 18=1.7276253459289053, 19=2.0, 20=0.8775728032482931, 23=4.0, 24=1.0, 25=2.36983698369837, 26=5.0, 28=0.39793979397939794, 29=1.0, 31=1.0, 32=1.0, 33=2.0, 34=1.0, 35=0.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0, 50=1.0, 53=0.7, 54=1.0, 55=0.7}	
LOOK AT SLACKS STUPID FACE DansGame	NEGATIVE	NEUTRAL	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 15=2.0, 16=2.0, 17=1.0, 18=2.5927694669256205, 19=5.0, 20=0.7014915519072168, 21=0.21730662367886797, 22=1.0, 23=3.0, 24=1.0, 25=2.377337733773377, 26=5.0, 27=0.550955095509551, 28=0.3432343234323432, 31=1.0, 33=1.0, 35=0.0, 37=1.0, 38=1.0, 39=0.5, 40=2.0, 42=0.0, 45=1.0, 47=1.0, 49=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
slacks with that stupid face	NEGATIVE	NEUTRAL	{3=1.0, 4=0.3, 5=1.0, 7=0.3, 15=1.0, 16=1.0, 17=1.0, 18=1.4332212789603704, 19=3.0, 20=0.7014915519072168, 21=0.21730662367886797, 23=4.0, 24=1.0, 25=2.3755375537553753, 26=5.0, 28=0.3432343234323432, 31=1.0, 33=1.0, 35=0.0, 38=1.0, 40=1.0, 42=0.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
(puke) *** FRENCH PEOPLE (puke)	NEGATIVE	NEUTRAL	{15=1.0, 16=1.0, 17=2.0, 18=1.2846932992952131, 19=4.0, 20=0.6107385135097961, 21=0.07976584120556574, 23=2.0, 24=2.0, 25=1.7220722072207222, 26=4.0, 28=0.35873587358735876}	
WTF Kappa	NEGATIVE	NEUTRAL	{15=1.0, 18=0.6038281881853245, 19=1.0, 20=0.6038281881853245, 23=3.0, 24=1.0, 25=1.937293729372937, 26=4.0, 28=0.39793979397939794, 31=1.0, 33=1.0, 35=0.0}	
sheever so hot :D	POSITIVE	NEUTRAL	{15=1.0, 16=1.0, 18=1.129282503562449, 19=2.0, 20=0.6148594001881633, 22=1.0, 23=2.0, 25=1.5884588458845883, 26=3.0, 27=0.628062806280628, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 36=1.0, 37=1.0, 39=1.5, 40=2.0, 41=1.0}	
WTF IS THAT SOUND	NEGATIVE	NEUTRAL	{15=1.0, 18=0.7139092304560485, 19=1.0, 20=0.7139092304560485, 23=5.0, 24=1.0, 25=2.9094909490949097, 26=6.0, 28=0.39793979397939794, 31=1.0, 33=1.0, 35=0.0, 36=1.0, 39=1.0, 40=1.0, 41=1.0}	
SHEEVER U SO HOT	POSITIVE	NEUTRAL	{15=1.0, 16=1.0, 18=1.129282503562449, 19=2.0, 20=0.6148594001881633, 22=1.0, 23=2.0, 25=1.527952795279528, 26=3.0, 27=0.5675567556755676, 29=1.0, 32=1.0, 33=1.0, 34=1.0, 36=1.0, 37=1.0, 39=1.5, 40=2.0, 41=1.0}	
LETS GO TO THE DRAFT SwiftRage	NEGATIVE	NEUTRAL	{15=2.0, 18=1.251693194760037, 19=2.0, 20=0.6959952023856029, 22=1.0, 23=4.0, 25=2.554455445544555, 26=5.0, 27=0.601960196019602, 45=1.0, 47=1.0, 49=0.0}	
Sheever dont look at me Kreygasm	POSITIVE	NEUTRAL	{15=1.0, 16=2.0, 18=1.673971291339536, 19=3.0, 20=0.645125084590965, 22=1.0, 23=2.0, 24=1.0, 25=1.954895489548955, 26=4.0, 27=0.550955095509551, 28=0.43984398439843986, 37=1.0, 39=0.5, 40=1.0, 43=1.0, 46=1.0, 47=1.0, 48=1.0}	
*** gay voice	NEGATIVE	NEUTRAL	{15=2.0, 18=1.3878695180928382, 19=2.0, 20=0.7207645372667904, 23=2.0, 25=0.9792979297929794, 26=2.0, 52=1.0, 53=0.3, 54=1.0, 56=0.3}	
MEDUSA	NEUTRAL	NEGATIVE	{16=1.0, 18=0.5144231033742855, 19=1.0}	
